id,constant,position,translate
67,marketsListText.market3.text|dot,Подзаголовок,Инвестируй в акции прибыльных компаний или стартапов.
2.2.5. Товары,,,
68,marketsListText.market4.title,Заголовок,Товары
69,marketsListText.market4.text|dot,Подзаголовок,Зарабатывай на разнице цен различных категорий товаров.
2.2.6. Индексы,,,
70,marketsListText.market5.title,Заголовок,Индексы
71,marketsListText.market5.text|dot,Подзаголовок,"Диверсифицируй инвестиционный портфель, приобретая индексы."
2.2.7. Криптовалюты,,,
72,marketsListText.market6.title,Заголовок,Криптовалютный рынок
73,marketsListText.market6.text|dot,Подзаголовок,Анализируй тренды рынка цифровой валюты и зарабатывай на разнице цен.
2.3. Валюты,,,
2.3.1. Посадочный экран,,,
74,forexHeaderText.title,Заголовок,Валюта
75,forexHeaderText.text|dot,Подзаголовок,Ликвидные инвестиции на валютном рынке
76,forexProfitsText.profit1.title,Преимущество №1. Заголовок.,Доступность
77,forexProfitsText.profit1.text|dot,Преимущество №1. Описание.,Для трейдинга на рынке валют достаточно небольшого размера инвестиций.
78,forexProfitsText.profit2.title,Преимущество №2. Заголовок.,График работы
79,forexProfitsText.profit2.text|dot,Преимущество №2. Описание.,Платформа Company Name обеспечивает круглосуточный доступ для осуществления торговли.
80,forexProfitsText.profit3.title,Преимущество №3. Заголовок.,Кредитное плечо
81,forexProfitsText.profit3.text|dot,Преимущество №3. Описание.,Трейдер имеет возможность оформления кредитного плеча на выгодных условиях.
82,forexProfitsText.profit4.title,Преимущество №4. Заголовок.,Прибыльность рынка
83,forexProfitsText.profit4.text|dot,Преимущество №4. Описание.,Высокая скорость совершения операций обеспечивает ликвидность инвестиций на валютном рынке.
2.3.2. Описание рынка,,,
84,forexAssetsText.title,Заголовок,Валютный рынок
85,forexAssetsText.text|dot,Подзаголовок,Является одним из самых ликвидных и доступных для трейдинга инвестиционных инструментов.
2.4. Металлы,,,
2.4.1. Посадочный экран,,,
86,metalsHeaderText.title,Заголовок,Драгоценные металлы
87,metalsHeaderText.text|dot,Подзаголовок,Защитные активы в составе инвестиционного портфеля
88,metalsProfitsText.profit1.title,Преимущество №1. Заголовок.,Низкая волатильность
89,metalsProfitsText.profit1.text|dot,Преимущество №1. Описание.,Цены на рынке драгметаллов имеют стабильные положительные тренды.
90,metalsProfitsText.profit2.title,Преимущество №2. Заголовок.,Фьючерсные контракты
91,metalsProfitsText.profit2.text|dot,Преимущество №2. Описание.,Являются прибыльным инвестиционным инструментом на рынке металлов.
92,metalsProfitsText.profit3.title,Преимущество №3. Заголовок.,Ликвидность инвестиций
93,metalsProfitsText.profit3.text|dot,Преимущество №3. Описание.,Драгметаллы являются востребованными активами для инвестирования.
94,metalsProfitsText.profit4.title,Преимущество №4. Заголовок.,Стратегическое разнообразие
95,metalsProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Металлами можно торговать как в краткосрочной, так и в долгосрочной перспективе."
2.4.2. Описание рынка,,,
96,metalsAssetsText.title,Заголовок,Рынок драгметаллов
97,metalsAssetsText.text|dot,Подзаголовок,Самой популярной на рынке драгоценных металлов является стратегия диверсификации инвестиционного портфеля.
2.5. Акции,,,
2.5.1. Посадочный экран,,,
98,stocksHeaderText.title,Заголовок,Ценные бумаги
99,stocksHeaderText.text|dot,Подзаголовок,Акции являются одними из самых прибыльных инвестиционных инструментов
100,stocksProfitsText.profit1.title,Преимущество №1. Заголовок.,Доступный рынок
101,stocksProfitsText.profit1.text|dot,Преимущество №1. Описание.,Company Name предоставляет пользователям возможность инвестирования с использованием микролотов.
102,stocksProfitsText.profit2.title,Преимущество №2. Заголовок.,Распределение инвестиций
103,stocksProfitsText.profit2.text|dot,Преимущество №2. Описание.,Широкий ассортимент акций различных компаний для диверсификации инвестиционного портфеля.
104,stocksProfitsText.profit3.title,Преимущество №3. Заголовок.,Доходность инвестиций
105,stocksProfitsText.profit3.text|dot,Преимущество №3. Описание.,Акции крупных международных прибыльных компаний обладают высокой ликвидностью.
106,stocksProfitsText.profit4.title,Преимущество №4. Заголовок.,Низкий порог вхождения
107,stocksProfitsText.profit4.text|dot,Преимущество №4. Описание.,Трейдинг на рынке ценных бумаг доступен для небольшого размера инвестиций.
2.5.2. Описание рынка,,,
108,stocksAssetsText.title,Заголовок,Рынок ценных бумаг
109,stocksAssetsText.text|dot,Подзаголовок,Трейдеры зарабатывают на изменении стоимости акций различных компаний.
2.6. Товары,,,
2.6.1. Посадочный экран,,,
110,commoditiesHeaderText.title,Заголовок,Товары
111,commoditiesHeaderText.text|dot,Подзаголовок,Инвестиции в ходовые товары сельскохозяйственной и энергетической промышленности
112,commoditiesProfitsText.profit1.title,Преимущество №1. Заголовок.,Окупаемость инвестиций
113,commoditiesProfitsText.profit1.text|dot,Преимущество №1. Описание.,На товарной бирже реализуются самые ликвидные категории активов.
114,commoditiesProfitsText.profit2.title,Преимущество №2. Заголовок.,Риск-менеджмент
115,commoditiesProfitsText.profit2.text|dot,Преимущество №2. Описание.,Рост инфляции не имеет негативного влияния на изменение котировок.
116,commoditiesProfitsText.profit3.title,Преимущество №3. Заголовок.,Беспоставочные контракты
117,commoditiesProfitsText.profit3.text|dot,Преимущество №3. Описание.,CFD-контракты используются на товарной бирже для заработка на разнице цен.
118,commoditiesProfitsText.profit4.title,Преимущество №4. Заголовок.,Вариативность
119,commoditiesProfitsText.profit4.text|dot,Преимущество №4. Описание.,Платформа Company Name предоставляет широкий выбор различных категорий товаров.
2.6.2. Описание рынка,,,
120,commoditiesAssetsText.title,Заголовок,Рынок товаров
121,commoditiesAssetsText.text|dot,Подзаголовок,"На рынке товаров происходит обращение продуктов энергетической, сырьевой, сельскохозяйственной и лесной промышленности."
2.7. Индексы,,,
2.7.1. Посадочный экран,,,
122,indicesHeaderText.title,Заголовок,Индексы
123,indicesHeaderText.text|dot,Подзаголовок,Приобретай набор акций самых прибыльных компаний в отрасли
124,indicesProfitsText.profit1.title,Преимущество №1. Заголовок.,Прибыльность
125,indicesProfitsText.profit1.text|dot,Преимущество №1. Описание.,"В состав индексов входят самые ликвидные акции, имеющие растущие тренды."
126,indicesProfitsText.profit2.title,Преимущество №2. Заголовок.,Выгодные условия
127,indicesProfitsText.profit2.text|dot,Преимущество №2. Описание.,Сниженные комиссии по операциям и популярные фондовые индексы на платформе Company Name.
128,indicesProfitsText.profit3.title,Преимущество №3. Заголовок.,Обеспечение инвестиций
129,indicesProfitsText.profit3.text|dot,Преимущество №3. Описание.,Фондовые индексы используются в трейдинге для долгосрочного инвестирования.
130,indicesProfitsText.profit4.title,Преимущество №4. Заголовок.,Аналитический потенциал
131,indicesProfitsText.profit4.text|dot,Преимущество №4. Описание.,Индексы используются для анализа рыночной или отраслевой ситуации.
2.7.2. Описание рынка,,,
132,indicesAssetsText.title,Заголовок,Рынок фондовых индексов
133,indicesAssetsText.text|dot,Подзаголовок,"В случае падения стоимости акций, они исключаются из фондового индекса и заменяются более прибыльными."
2.8. Криптовалюты,,,
2.8.1. Посадочный экран,,,
134,cryptoHeaderText.title,Заголовок,Криптовалютная биржа
135,cryptoHeaderText.text|dot,Подзаголовок,Прибыльный трейдинг на динамичном рынке цифровых валют
136,cryptoProfitsText.profit1.title,Преимущество №1. Заголовок.,Сниженные комиссии
137,cryptoProfitsText.profit1.text|dot,Преимущество №1. Описание.,Криптовалюта не регулируется государством и не облагается налогами.
138,cryptoProfitsText.profit2.title,Преимущество №2. Заголовок.,Комфортные инвестиции
139,cryptoProfitsText.profit2.text|dot,Преимущество №2. Описание.,Для торговли криптовалютой на платформе Company Name не требуется сложной верификации.
140,cryptoProfitsText.profit3.title,Преимущество №3. Заголовок.,Кредитное плечо
141,cryptoProfitsText.profit3.text|dot,Преимущество №3. Описание.,Возможность небольшого размера инвестиций для торговли на криптовалютном рынке.
142,cryptoProfitsText.profit4.title,Преимущество №4. Заголовок.,Широкий ассортимент
143,cryptoProfitsText.profit4.text|dot,Преимущество №4. Описание.,Платформа Company Name предлагает большой выбор активов для инвестирования.
2.8.2. Описание рынка,,,
144,cryptoAssetsText.title,Заголовок,Криптовалютный рынок
145,cryptoAssetsText.text|dot,Подзаголовок,"Персональные данные участников рынка надёжно защищены, а движение транзакций невозможно отследить."
3. Торговые условия,,,
3.1. Посадочный экран,,,
146,tradingHeaderText.title,Заголовок,Ознакомьтесь с основными торговыми понятиями
147,tradingHeaderText.text|dot,Подзаголовок,"В данном разделе представлена информация о следующих определениях: кредитное плечо, объём лота, Margin Call, спред и так далее."
3.2. Калькулятор трейдера,,,
148,tradingCalculatorText.title,Заголовок,Калькулятор трейдера
149,tradingCalculatorText.text|dot,Подзаголовок,Полезный инструмент при планировании сделок.
3.3. Расчетные данные,,,
150,estimationText.offer_1,Инструмент,"Инструмент: <div class=""description"">указывайте выбранный финансовый инструмент из списка</div>"
151,estimationText.offer_2,Цена открытия,"Цена: <div class=""description"">укажите предположительную цену открытия и закрытия ордера, чтобы узнать возможный результат</div>"
152,estimationText.offer_3,Объем сделки,"Объем сделки: <div class=""description"">укажите точный объем сделки в лотах</div>"
153,estimationText.offer_4,"Спред, в пунктах","Спред в пунктах: <div class=""description"">просчитывается автоматически исходя из разницы между ценами Ask и Bid</div>"
155,estimationText.offer_5,Маржа в USD,"Маржа: <div class=""description"">указанные данные - это минимальный размер свободного депозита, который необходим для осуществления сделки</div>"
156,estimationText.offer_6,Прибыль в USD,"Прибыль: <div class=""description"">указывается вероятная прибыль на основании введенных параметров</div>"
3.4. Пример расчета,,,
157,estimationText.h2,Заголовок,Принцип работы
158,estimationText.ul_title,Подзаголовок,Исходные данные
159,estimationText.li_1,Данные №1,Инструмент
160,estimationText.li_2,Данные №2,Цена открытия
161,estimationText.li_3,Данные №3,Объем сделки
162,estimationText.li_4,Данные №4,Спред в пунктах
164,estimationText.li_5,Данные №6,Маржа
165,estimationText.li_6,Данные №7,Прибыль
4. О компании,,,
4.1. О компании + Показатели,,,
166,aboutHeaderText.title,Слоган-заголовок,Зарабатывай больше на платформе Company Name!
167,aboutHeaderText.text|dot,Подзаголовок,Используй прибыльные инвестиционные стратегии и лучшие аналитические инструменты
168,aboutCounterText.counter1.title,Показатель №1,<span class='indicator-number_1' data-indicator-number='37459'>0</span>
169,aboutCounterText.counter1.text,Текст показателя №1,Трейдеров на платформе
170,aboutCounterText.counter2.title,Показатель №2,<span class='indicator-number_2' data-indicator-number='298560'>0</span>
171,aboutCounterText.counter2.text,Текст показателя №2,Дневных ордеров
172,aboutCounterText.counter3.title,Показатель №3,<span class='indicator-number_3' data-indicator-number='235'>0</span>+
173,aboutCounterText.counter3.text,Текст показателя №3,Торговых инструментов
174,aboutCounterText.counter4.title,Показатель №4,<span class='indicator-number_4' data-indicator-number='258'>0</span>
175,aboutCounterText.counter4.text,Текст показателя №4,Миллионов долларов ежедневно
176,aboutCounterText.counter5.title,Показатель №5,<span class='indicator-number_5' data-indicator-number='4'>0</span>
177,aboutCounterText.counter5.text,Текст показателя №5,Года на рынке брокеров
4.2. Вы в центре всего,,,
178,aboutConditionsText.title,Заголовок,Твой идеальный брокер - Company Name
179,aboutConditionsText.text|dot,Подзаголовок,Лучшие торговые условия для успешного трейдинга
4.3. Цели и задачи компании,,,
180,aboutGoalsText.h2,Общий заголовок,Наши цели
181,aboutGoalsText.goal1.title,Заголовок №1,Цель №1
182,aboutGoalsText.goal1.text|dot,Описание заголовка №1,К концу 2022 года увеличить дневной оборот операций на 25%.
183,aboutGoalsText.goal2.title,Заголовок №2,Цель №2
184,aboutGoalsText.goal2.text|dot,Описание заголовка №2,Привлечь на платформу 15000 активных пользователей.
4.4. Больше возможностей для трейдинга,,,
185,aboutQualityText.title,Заголовок №1,Широкие возможности для инвестиций
186,aboutQualityText.text|dot,Описание заголовка №1,Более 200 торговых инструментов на платформе Company Name
4.5. Наша история,,,
187,aboutHistoryText.h2,Общий заголовок,История
188,aboutHistoryText.year1.title,2019 год. Заголовок,Начало пути
189,aboutHistoryText.year1.text|dot,2019 год. Описание,В начале 2019 года мы открыли первый офис и получили лицензию на осуществление брокерской деятельности.
190,aboutHistoryText.year2.title,2020 год. Заголовок,Первые шаги
191,aboutHistoryText.year2.text|dot,2020 год. Описание,В 2020 году мы разработали программу лояльности и привлекли 13500 активных пользователей на платформу.
192,aboutHistoryText.year3.title,2021 год. Заголовок,Модернизация
193,aboutHistoryText.year3.text|dot,2021 год. Описание,В 2021 году мы обновили наш торговый терминал до актуальной версии и оптимизировали работу сайта.
194,aboutHistoryText.year4.title,2022 год. Заголовок,Расширение
195,aboutHistoryText.year4.text|dot,2022 год. Описание,В 2022 году был расширен функционал платформы и ассортимент предлагаемых торговых инструментов.
4.6. Платформа для торговли разработанная для людей.,,,
196,aboutPlatformText.title,Заголовок,Присоединяйся и зарабатывай
197,aboutPlatformText.text|dot,Подзаголовок,Трейдинг на платформе Company Name - это
198,aboutPlatformText.advantage1,Преимущества №1,Оперативное исполнение ордеров
199,aboutPlatformText.advantage2,Преимущества №2,Выгодные условия торговли
200,aboutPlatformText.advantage3,Преимущества №3,Разнообразие тарифных планов
201,aboutPlatformText.advantage4,Преимущества №4,Точные данные о котировках
202,aboutPlatformText.advantage5,Преимущества №5,Сотрудничество с регуляторами
203,aboutPlatformText.advantage6,Преимущества №6,Широкий ассортимент торговых инструментов
204,aboutPlatformText.advantage7,Преимущества №7,Круглосуточное обеспечение платформы
5. Лицензии.,,,
5.1. Посадочный экран,,,
205,licensesHeaderText.title,Заголовок,Регулирование деятельности
206,licensesHeaderText.text,Подзаголовок к заголовку,Компания Company Name сотрудничает с надёжными финансовыми регуляторами.
5.2. Информация о регуляторах и банках,,,
207,licensesListText.license1.title,Заголовок №1,FSMA
208,licensesListText.license1.text,Описание №1,Управление финансовых услуг и рынков осуществляет надзор за операциями на финансовом рынке и его участниками.
209,licensesListText.license2.title,Заголовок №2,"BlackRock, Inc"
210,licensesListText.license2.text,Описание №2,Международная инвестиционная компания со штаб-квартирой в Нью-Йорке.
211,licensesListText.license3.title,Заголовок №3,AUSTRAC
212,licensesListText.license3.text,Описание №3,Австралийский центр по учёту и анализу финансовых сделок.
213,licensesListText.license4.title,Заголовок №4,MiFid
214,licensesListText.license4.text,Описание №4,"Директива Евросоюза, направленная на противодействие отмыванию финансовых ресурсов."
215,licensesListText.license5.title,Заголовок №5,UBS Group
216,licensesListText.license5.text,Описание №5,"Крупнейший швейцарский финансовый холдинг, предоставляющий широкий спектр финансовых услуг по всему миру."
217,licensesListText.license6.title,Заголовок №6,ESMA
218,licensesListText.license6.text,Описание №6,Европейское управление по надзору за рынком ценных бумаг. Данный регулятор контролирует финансовую деятельность на территории Европейского союза.
219,licensesListText.license7.title,Заголовок №7,IFSC
220,licensesListText.license7.text,Описание №7,Комиссия по международным финансовым услугам Белиза.
221,licensesListText.license8.title,Заголовок №8,SCB
222,licensesListText.license8.text,Описание №8,Комиссия по ценным бумагам Багамских островов.
6. Ошибка 404.,,,
223,headerText404.title,Заголовок,Ошибка 404
224,headerText404.text,Подзаголовок,"Данной страницы не существует, обратитесь в службу поддержки."
225,headerText404.textMainPage,Вернуться на главную страницу,Вернуться на главную страницу
226,headerText404.textSupport,Служба технической поддержки,Служба технической поддержки
8. Формы,,,
8.1. Заголовки форм,,,
228,formsText.titleEnter,Вход в личный кабинет,Вход в личный кабинет
229,formsText.titleCallback,Оставить заявку,Оставить заявку
230,formsText.titleTwoauth,Двухэтапная авторизация,Двухфакторная авторизация
231,buttonText.signup,Регистрация,Регистрация
232,fotmsText.titleReminder,Восстановление пароля,Восстановление пароля
8.2. Поля ввода,,,
233,formsText.labelName,Введите ваше имя,Имя *
234,formsText.placeholderName,Введите ваше имя (placeholder),Ваше имя *
235,formsText.labelLastName,Введите вашу фамилию,Фамилия *
236,formsText.placeholderLastName,Введите вашу фамилию (placeholder),Ваша фамилия *
237,formsText.labelMail,E-mail,E-mail *
238,formsText.placeholderEmail,Введите ваш E-mail (placeholder),Ваш E-mail *
239,formsText.labelPassword,Введите пароль,Пароль *
240,formsText.placeholderPassword,Введите пароль (placeholder),Введите пароль *
241,formsText.labelConfirmPassword,Подтвердите пароль,Подтвердите пароль *
242,formsText.labelPhone,Поле для ввода номера телефона,Телефон *
243,formsText.placeholderPhone,Поле для ввода номера телефона (placeholder),Ваш телефон *
244,formsText.labelCountry,Выберите страну,Страна
245,formsText.placeholderCountry,Выберите страну (placeholder),Выберите страну
246,formsText.labelLanguage,Выберите язык,Язык
247,formsText.placeholderLanguage,Выберите язык (placeholder),Выберите язык
248,formsText.labelTime,Удобное время для звонка,Удобное время
249,formsText.placeholderTime,Удобное время для звонка (placeholder),Время для звонка
250,formsText.lableTwoauth,Введите код двухэтапной авторизации,Код авторизации *
251,formsText.placeholderTwoauth,Введите код двухэтапной авторизации (placeholder),Код двухэтапной авторизации *
252,formsText.labelPromo,Введите промокод,Промокод
253,formsText.placeholderPromo,Введите промокод (placeholder),Введите промокод
8.3. Дополнительный текст,,,
254,formsText.text_required,* - обязательные поля,* - обязательное поле
255,formsText.regRecommend,"Для пароля разрешены только латинские буквы, цифры и символы. ","Для пароля разрешены только латинские буквы, цифры и символы. Пароль должен содержать как минимум одну заглавную букву, одну строчную букву и одну цифру."
256,formsText.checkboxText,Обработка персональных данных (чекбокс),Я согласен на обработку персональных данных
8.4. Уведомления,,,
257,formsText.titleSuccess,Спасибо за отправку сообщения (заголовок),Спасибо за отправку сообщения
258,formsText.textSuccess,Спасибо за отправку сообщения текст (подзаголовок),Мы свяжемся с вами в ближайшее время.
259,formsText.titleError,Ошибка отправки сообщения (заголовок),Ошибка отправки сообщения
260,formsText.textError,Ошибка отправки сообщения текст (подзаголовок),Попробуйте позднее
309,formsText.titleAttention,Ошибка (заголовок),Внимание!
8.5. Ссылки в форме,,,
261,formsText.forgotText,Забыли пароль?,Забыли пароль?
262,formsText.allreadyText,Уже есть учетная запись,Уже есть учетная запись
9. Навигация,,,
263,navText.index,Главная,Главная
264,navText.markets,Рынки,Рынки
265,navText.about,О компании,О компании
266,navText.contacts,Контакты,Контакты
267,navText.forex,Валюты,Валюты
268,navText.metals,Металлы,Металлы
269,navText.stocks,Акции,Акции
270,navText.commodities,Товары,Товары
271,navText.indices,Индексы,Индексы
272,navText.crypto,Криптовалюты,Криптовалюты
273,navText.trading,Торговые условия,Торговые условия
274,navText.licenses,Аккредитация и лицензии,Аккредитации и лицензии
275,formsText.checkboxAgreement,Пользовательское соглашение,Пользовательское соглашение
276,formsText.checkboxPolicy,Политика возврата средств,Политика возврата средств
293,curLang,Текущий язык,Ru
10. Кнопки,,,
277,buttonText.login,Войти,Войти
278,buttonText.btnReg,Зарегистрироваться,Зарегистрироваться
279,buttonText.enterFormButton,Войти в кабинет,Войти
280,buttonText.btnSend,Отправить,Отправить
281,buttonText.btnStartTrade,Начать торговать,Начать торговать
282,buttonText.btnOpenAcc,Открыть счет,Открыть счет
283,buttonText.btnCallback,Запросить звонок,Запросить звонок
284,buttonText.btnLearMore,Узнать больше,Узнать больше
285,buttonText.btn404,Вернуться на главную,Вернуться на главную
286,buttonText.btnSupport,Техническая поддержка,Техническая поддержка
287,buttonText.btnPartner,Стать партнером,Стать партнером
11. Контакты,,,
288,contactsHeaderText.title,Заголовок,"Круглосуточная, персональная поддержка пользователей"
289,contactsHeaderText.text,Подзаголовок,Запросите звонок и мы свяжемся с вами в ближайшее время.
290,contactsListText.contact2,Наша почта,Наша почта
291,contactsListText.contact3,Месторасположение,Месторасположение
292,contactsListText.contact1,Международный номер,Международный номер
12. Тайтлы,,,
293,titles.index,index,Company Name - Получите финансовую независимость
294,titles.notFound,404,404 - Company Name - Получите финансовую независимость
295,titles.licenses,licenses,Аккредитации и лицензии - Company Name - Получите финансовую независимость
296,titles.reminder,recovery,Восстановление пароля - Company Name - Получите финансовую независимость
297,titles.register,register,Регистрация - Company Name - Получите финансовую независимость
298,titles.login,login,Вход - Company Name - Получите финансовую независимость
299,titles.about,about,О компании - Company Name – зарабатывай просто!
300,titles.contacts,contacts,"Контакты - Company Name - Круглосуточная, персональная поддержка пользователей"
301,titles.markets,markets,Свыше 200 финансовых инструментов для трейдинга из любой точки мира
302,titles.commodities,commodities,Товары - Торговля биржевыми товарами с Company Name
303,titles.crypto,crypto,Криптовалюты - Торгуйте CFD на криптовалюту вместе с Company Name
304,titles.forex,forex,Валюты – самый устойчивый и перспективный рынок для инвестиций
305,titles.indices,indices,Индексы - Станьте профи в торговле CFD на индексы
306,titles.metals,metals,Металлы - Выгодная торговля CFD-контрактами на металлы
307,titles.stocks,stocks,Акции - Котировки акций онлайн с Company Name
308,titles.trading,trading,Торговые условия - Торговые счета Company Name
